experiment,ID,ACC
sat_mc_2,1,1.0
sat_mc_2,6,0.3333333333333333
sat_mc_2,7,0.8333333333333334
sat_mc_2,8,0.3333333333333333
sat_mc_2,11,0.8333333333333334
sat_mc_2,13,0.8333333333333334
sat_mc_2,18,0.5
sat_mc_2,20,0.6666666666666666
sat_mc_2,163,0.3333333333333333
sat_mc_2,194,1.0
sat_mc_2,504,1.0
sat_mc_2,535,1.0
sat_mc_2,5002,0.0
sat_mc_2,5003,0.3333333333333333
sat_mc_2,5004,0.0
sat_mc_2,5005,0.3333333333333333
sat_mc_2,5006,0.8333333333333334
sat_mc_2,5008,0.8333333333333334
sat_mc_2,5009,0.16666666666666666
sat_mc_2,5012,1.0
sat_mc_2,5013,1.0
sat_mc_2,5014,0.8333333333333334
sat_mc_2,5015,0.3333333333333333
sat_mc_2,5016,0.8333333333333334
sat_mc_2,5018,0.6666666666666666
sat_mc_2,5019,0.3333333333333333
sat_mc_2,5020,0.5
sat_mc_2,5021,0.8333333333333334
sat_mc_2,5022,0.8333333333333334
sat_mc_2,5023,0.6666666666666666
sat_mc_2,5024,0.6666666666666666
sat_mc_2,5025,0.0
sat_mc_2,5029,1.0
sat_mc_2,5030,1.0
sat_mc_2,5031,0.8333333333333334
sat_mc_2,5032,0.3333333333333333
sat_mc_2,5033,0.5
sat_mc_2,5034,0.6666666666666666
sat_mc_2,5036,1.0
sat_mc_2,5037,0.16666666666666666
sat_mc_2,5038,0.6666666666666666
sat_mc_2,5039,0.8333333333333334
sat_mc_2,5040,0.8333333333333334
sat_mc_2,5042,0.5
sat_mc_2,5043,0.6666666666666666
sat_mc_2,5044,0.6666666666666666
sat_mc_2,5045,0.0
sat_mc_2,5046,0.6666666666666666
sat_mc_2,5047,0.16666666666666666
sat_mc_2,5048,0.8333333333333334
sat_mc_2,5050,0.8333333333333334
sat_mc_2,5051,0.6666666666666666
sat_mc_2,5055,0.3333333333333333
sat_mc_2,5056,1.0
sat_mc_2,5058,0.8333333333333334
sat_mc_2,5060,0.5
sat_mc_2,5061,0.8333333333333334
sat_mc_2,5062,0.8333333333333334
sat_mc_2,5063,1.0
sat_mc_2,5064,0.8333333333333334
sat_mc_2,5065,1.0
sat_mc_2,5066,0.6666666666666666
sat_mc_2,5067,0.8333333333333334
sat_mc_2,5068,0.8333333333333334
sat_mc_2,5071,0.6666666666666666
sat_mc_2,5074,0.8333333333333334
sat_mc_2,5075,0.5
sat_mc_2,5076,0.8333333333333334
sat_mc_2,5077,1.0
sat_mc_2,5078,0.8333333333333334
sat_mc_2,5080,0.8333333333333334
